"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"ND1",55711,80778,47413,46782,41339,37600,39047,49024,106862,68847,36192,42816,44148,55510,54389,58897,68379,45410,58729,24425,52227,48713,33593,37250,38400,38658,58436,82046,36492,34863,70042,45837,76981,94076,24154,54775,58188,41763,45162,37066,50866,68445,51932
"ECE1",39836,25904,19508,64848,15103,40655,40987,34786,18967,20945,14639,39033,24329,34663,39076,27687,19659,20875,16611,30884,47896,25725,15706,48290,42360,47897,32020,11118,29249,19290,18621,13656,22230,20786,57024,37658,35726,76736,69458,87503,37810,33896,33617
"CCDC80",1527,6165,46634,457,8881,92,1286,224,2757,1514,1017,302,1538,443,628,1055,1416,257,588,13,1038,1541,1408,665,733,905,522,105765,138,1093,1048,926,1478,361,1907,1930,178,4452,5020,6700,2380,4216,4196
"PXDN",21056,43370,56026,83159,7978,35769,36591,14524,40014,21089,12011,72011,32476,39526,41228,25902,15132,17867,23939,19957,55572,37910,16958,52761,47428,60265,39443,34081,17998,13394,26502,14498,36519,30895,44074,27720,47157,41387,32987,47038,47690,63806,53528
"SRGN",21611,19966,29921,33870,8372,37930,25173,31031,5307,34292,15611,30073,7285,25928,35177,27132,41639,58282,10853,19538,33243,29833,51789,27389,43610,21460,16328,40893,57953,40607,11200,79934,36810,80967,24523,22092,42105,19953,21809,20046,31449,12161,6368
"CD44",4331,22673,57452,14332,66057,14684,3150,6381,466,3000,2682,1182,2885,1720,4296,1206,66,7134,1115,2793,3739,3328,8234,4093,17322,2400,1497,76609,999,1671,762,29836,3956,15936,5969,2043,6143,5634,5656,3607,24323,1827,1801
"LAMC1",24979,42487,68677,65978,21121,66051,40025,27774,31066,35567,28137,62721,24768,36495,40528,26234,32031,25460,21436,32043,53209,40788,28687,45436,60277,61090,47906,108564,28123,24128,21921,29607,47229,48065,49363,32622,45499,43359,35931,45376,44557,60313,51926
"FLT4",8950,16485,507,5719,3,10750,17038,1574,20090,21227,47237,7782,23054,6831,6842,13172,23819,3776,20950,2791,5890,7623,7944,17528,7527,15134,18825,3,9134,59827,30462,6078,5402,4501,13136,12671,4888,9452,9085,11164,27117,64697,77873
"MME",970,8126,17265,3160,110049,745,299,88,2,7,38,761,61,564,358,126,676,391,6,262,1438,166,390,720,374,2156,1095,1528,293,106,130,2718,485,323,1469,1163,173,1140,1472,1074,138,62,29
"ROBO4",21230,32514,2877,42089,282,28324,48009,49597,45357,29836,9228,46431,48285,54575,37874,44481,16418,28266,51314,54288,43866,52966,20682,44670,40966,33277,25514,93,13265,3646,23873,23131,47198,24571,38309,29048,66345,43373,27452,38459,55334,54248,47956
"CALR",64361,60775,71123,80981,131130,67390,79321,74076,46565,70510,61378,68724,65169,71020,73133,76769,68410,79705,95537,57301,84126,70530,79457,88024,74524,87959,58794,86873,71617,126353,47791,52732,63776,49004,75298,52067,79515,70973,70388,77962,78500,78515,70139
"NID1",19324,33316,6326,20132,7116,49545,39221,13752,51750,29915,49241,22234,49756,15464,23129,27167,31327,12329,40012,22308,24218,20810,22495,32206,26899,41624,45328,22155,25595,47290,29455,8967,15267,30423,29396,28454,8811,27764,23881,33513,44705,67297,91262
"ATP6",52410,74169,40978,46823,24909,39166,35758,47188,107143,53617,36108,29127,34925,54143,51360,51962,53682,35999,65658,22573,49664,28792,28895,42399,32443,27639,48153,63878,32002,30847,62209,34209,62057,70887,24250,44065,57316,31310,31606,27818,41734,49398,43877
"MARCKS",41047,62115,18939,49796,13956,65413,57365,33059,68739,73092,55601,60134,65612,46803,50800,59585,61836,37523,95657,23746,48540,42681,53610,65513,63337,66249,50095,20463,52019,66516,43029,50443,52201,56672,54265,39123,44992,49689,43474,53431,72608,73636,82885
"HSPA8",67781,67489,83476,80486,77540,76731,63740,75289,52555,47836,43395,64797,30040,58352,53837,47797,31797,82838,65946,66384,62088,69236,54795,62435,76733,89298,60596,61615,65488,55357,36939,65206,93105,55983,67516,51897,103259,80747,97477,77273,89914,66676,58667
"PPFIBP1",8366,30647,7459,17188,8316,15384,14454,10953,26192,20672,36739,8355,28973,6628,8433,19415,26974,9659,27985,8776,7695,6373,10452,17797,12805,13387,14570,6202,14171,47418,42210,8503,8621,11152,9598,9829,9060,9343,9923,8777,37536,72417,77712
"PALM2AKAP2",25477,75770,34219,55490,17454,54579,32735,32941,62493,24133,14357,42522,20845,30258,36245,20318,13533,30759,23010,23991,42016,30769,16363,40642,51655,45205,40717,28101,58747,29843,20984,51685,43129,76111,41661,24972,66780,37526,32233,37883,63009,51024,38992
"PROX1",2757,24088,38,2141,61,1320,7462,164,34384,20704,42015,154,20590,593,652,11766,37985,1191,24285,116,49,110,10372,5325,2109,1558,4645,28,4461,16375,28348,4852,458,1389,358,6443,48,1000,1233,1102,31638,54152,64129
"RPS6",66520,57530,51488,40670,94908,43040,46269,52343,51382,29910,32401,38460,37819,35730,42523,48418,49405,44043,61200,56635,40631,40790,48412,47042,47428,69673,54152,42930,78789,59307,47957,26285,41231,24475,68316,105507,31533,47909,59660,60069,55512,49955,50585
"CLEC14A",36573,5877,1145,19182,1447,21272,18265,18493,2071,4400,3068,20127,6699,13261,13839,8451,3982,15965,4957,17224,15849,18238,8129,27448,17479,33585,21416,30,22988,3076,3039,5048,12673,9888,30959,18275,16143,57889,63116,71135,8821,8963,9928
"ITM2B",15089,23473,15332,26932,7132,15645,31517,39226,50993,40564,39163,17043,43196,12420,17084,52238,57603,13704,51364,47322,17253,17222,18587,28078,20350,27552,34932,10509,23562,37988,42450,15518,11757,21402,27786,28130,11728,22142,27165,31217,34620,67483,69223
"RPL4",79968,60934,74045,56173,104142,50720,57381,48851,51711,33657,40364,49327,48517,46499,56089,59002,59704,48099,58703,52100,53703,49103,51289,55620,60466,80953,65441,62479,73328,49085,54102,31077,51190,28308,72735,83912,42740,68165,82869,78737,74899,66557,64117
"HSPA5",34316,31439,27596,41016,112142,23868,39938,32288,23269,41556,11717,35984,37294,36936,35356,43022,37541,44922,34046,17977,50677,41337,34706,51156,37839,57038,35322,31894,27682,24905,17558,24896,33987,21581,39298,20078,44104,41414,36373,45461,30821,35138,25513
"UTRN",22647,45454,5395,36962,4291,26265,21263,17043,65040,17804,17901,28848,23135,15891,17576,22378,17886,15654,20835,21249,18449,19939,11219,36765,35481,36464,39446,6983,26624,33999,34110,10240,15716,19472,40722,34291,18296,34579,27909,37080,48139,65661,69661
"RPS3A",58051,39766,39805,28964,73049,30752,36106,40453,29331,22430,27210,29901,26851,23880,34494,38139,40220,31417,42478,43472,31922,32216,36930,34295,36299,57427,44644,31590,62935,56919,41608,16889,30252,15311,58493,98539,22936,37511,48372,44424,43076,36348,36916
"MMP2",36061,5177,30493,3943,23111,165,9811,167,6614,63,169,3486,792,9024,7466,69,12,43,161,137,9386,4816,113,921,387,5771,1755,7505,37,49,181,1363,5042,3779,17308,9087,4788,52441,42559,69194,5024,3421,10740
"ANKRD1",11525,48999,546,12257,102,647,37538,46762,64553,25236,1778,14920,16808,24643,30113,35975,11540,13661,25315,18848,26473,25050,20263,11323,3152,2351,3512,3410,1458,3507,7637,41265,26825,9584,7104,6364,29731,7713,5437,12591,19897,8123,3910
"CLU",23904,4568,690,13607,1201,7914,26452,5758,20741,9066,4701,24789,52432,4820,13423,28958,17809,4822,18386,11187,33598,17097,5358,12111,4948,13510,34452,2045,3380,2467,25565,1276,7408,3402,19547,26548,4515,29296,57979,60069,10583,33453,26449
"MYH10",18679,17561,2296,6325,1851,2744,14913,2980,37272,7867,2677,8868,20868,5797,6563,18084,5864,2388,20689,4554,8946,8449,3008,15239,5308,8819,14081,2557,2159,4927,15563,2078,5165,1661,19007,11376,5456,37045,28239,52851,16541,50287,68205
"ITGA3",5175,29921,103257,13949,25062,27526,19472,24772,18973,22767,8229,10273,21345,8818,11438,25022,15958,15958,19679,20010,13584,20712,15170,14345,20135,12412,8376,5851,12963,4675,9393,27708,19062,18278,6918,4765,15385,8437,8013,8479,20264,17236,11437
"GNG11",32857,59645,5220,26581,3970,10839,27686,29508,51036,13281,8273,18022,35263,18717,20725,26702,7747,7357,33573,22807,17892,19718,4810,31495,14218,28599,26263,6259,9182,24761,42101,12749,15858,15909,47522,53978,27163,31498,34027,39708,44735,48046,50652
"MMP14",26961,20249,50443,57886,69514,36020,20546,7594,7286,10712,11665,29313,9903,24177,22315,11071,7783,17661,6301,7897,28156,21080,14477,31265,43407,33034,15447,17696,18994,33932,7672,23552,29949,28970,39970,16420,50886,42576,39049,40566,24208,14195,17812
"ITGB1",28840,48689,97218,55763,43804,45409,32917,28768,49282,26847,20497,33690,20242,26580,29916,25498,25740,29088,21683,23257,28732,25084,22895,36851,43902,33825,26509,41660,46967,36020,19317,29588,28677,49582,45172,29320,41453,48471,48805,57685,60385,53022,48560
"RPL10",101302,64639,63328,59800,90112,69956,71015,72260,57029,48076,57566,70047,65199,63716,78096,64463,54024,40553,81318,80392,50707,69876,64069,70875,64386,72116,60641,54395,90056,69877,68548,43364,62955,42701,85502,102077,57200,79049,94526,77358,86522,74847,58972
"STOM",12912,15291,5359,18859,5528,33172,26439,36040,25686,66101,30504,15033,24486,12458,17891,32803,74523,35259,25227,30195,16249,17668,55544,16588,26731,20642,23741,5562,42395,48511,20027,27868,14411,39770,19300,16583,13801,17732,19890,19192,20063,23061,19424
"FSTL1",27365,20345,42173,35312,23115,33521,31739,38726,9255,43416,18134,27040,12022,26977,39414,27535,30245,28177,9778,33816,38347,41352,40380,27215,38542,25618,21971,100003,23867,26405,10863,41156,35353,39866,35302,25411,42897,34503,39458,44936,18602,19650,13650
"ANGPT2",2382,23421,3720,28476,33,727,11424,3715,34111,4190,2749,22393,24695,10567,9561,22357,932,1624,23961,2601,9299,5214,711,45549,11014,20384,19362,87,1071,1432,42362,2791,4096,7357,10967,6901,12921,6988,4744,8252,32839,60049,39107
"ARRB1",15406,38411,5057,17273,1213,16155,27586,15549,71743,31445,27190,21997,22437,12135,10137,19824,33359,10478,33783,20989,10032,16022,23063,25105,14914,17864,18710,1369,20064,21627,26134,5994,7838,18077,18373,16568,17254,26440,23317,31522,64454,32863,52933
"ND6",26554,55359,19096,25191,11586,20529,14641,19365,91266,31372,22283,13489,16228,25603,24796,22817,28000,16732,27242,6598,19691,13530,12163,15353,12447,11790,31385,39410,19596,14111,40922,15167,28162,40022,13473,23680,23891,12741,13375,13180,21236,31170,26725
"HSPB1",68744,38551,23768,42549,13706,34413,58242,48931,49532,46399,36974,53056,59465,63684,72980,63208,49905,41680,76291,39497,69334,67397,40749,60337,43317,48402,46185,40391,28708,20873,42126,39133,44193,28754,50367,44081,45771,44752,54496,44368,26577,26108,38303
"RACK1",94426,60336,68658,54732,106776,64566,64990,64947,55453,40505,55225,64099,56104,59071,68098,65386,70453,52758,70656,71050,60622,59607,67010,64190,72171,98907,81394,54304,84113,60787,64099,46054,63216,36976,76412,89416,50793,64734,82600,71849,68949,55540,64601
"TPM4",46337,50402,63528,58468,69571,71294,39341,65540,37120,26139,30270,34007,26945,42496,48603,36223,33061,37193,35532,52432,50637,40270,24770,39927,42136,43338,29186,71578,55624,75438,36720,37315,41765,28881,54260,41938,48730,55292,61250,49029,72196,57450,65411
"SEC14L1",36135,39124,7244,49946,5066,26510,38977,27307,25263,14449,10863,52875,19323,47857,49258,33062,11848,27700,25518,33644,49594,49460,24523,51144,41204,48505,44235,3149,24261,15591,16407,22416,37753,34242,44750,32972,42331,47636,34026,48483,31567,28539,18950
"NQO1",5734,4494,17872,11221,10625,33823,7958,45577,186,5428,5787,11181,4047,10643,19418,10246,6821,28677,5311,75309,14562,26487,19922,12089,15560,13465,14382,20956,42590,7160,1235,8038,11993,7190,9632,10559,12698,5467,5987,2639,7610,1790,1254
"ND2",29200,53322,26159,27102,17219,24164,21336,35666,74250,42516,26052,24567,23299,36737,32604,33407,42445,26949,45857,14820,34141,23119,21100,24740,22968,19872,37259,52007,22430,18728,43656,31777,52102,79301,15328,25609,37841,24961,24021,22977,28611,39648,30736
