"","x"
"1190","PRDX5"
"1191","PRELID1"
"1192","PRKX"
"1193","PRMT9"
"1194","PRPF38A"
"1195","PRPF38B"
"1196","PRPF40A"
"1197","PRPF4B"
"1198","PRR13"
"1199","PRTFDC1"
"1200","PSENEN"
"1201","PSIP1"
"1202","PSMA5"
"1203","PSMA6"
"1204","PSMA7"
"1205","PSMB10"
"1206","PSMB4"
"1207","PSMB5"
"1208","PSMC5"
"1209","PSMD12"
"1210","PSMD13"
"1211","PSMD8"
"1212","PSMD9"
"1213","PSME3IP1"
"1214","PTBP2"
"1215","PTDSS2"
"1216","PTGIR"
"1217","PTK7"
"1218","PTPA"
"1219","PTPMT1"
"1220","PTPN12"
"1221","PTPN4"
"1222","PTS"
"1223","PUM2"
"1224","PUM3"
"1225","PUS7"
"1226","PUSL1"
"1227","PWWP2A"
"1228","PWWP3A"
"1229","PYM1"
"1230","QKI"
"1231","QSER1"
"1232","R3HDM1"
"1233","RAB1B"
"1234","RAB28"
"1235","RAB2B"
"1236","RAB30"
"1237","RAB32"
"1238","RAB35"
"1239","RAB5C"
"1240","RAB5IF"
"1241","RAB7A"
"1242","RAB9A"
"1243","RABAC1"
"1244","RABL2B"
"1245","RABL3"
"1246","RAD23A"
"1247","RAD23B"
"1248","RAD50"
"1249","RAD51D"
"1250","RAD54B"
"1251","RAD9A"
"1252","RALB"
"1253","RALGDS"
"1254","RALY"
"1255","RANGRF"
"1256","RAP2C"
"1257","RASA1"
"1258","RBAK"
"1259","RBBP6"
"1260","RBBP9"
"1261","RBCK1"
"1262","RBM12B"
"1263","RBM15"
"1264","RBM25"
"1265","RBM26"
"1266","RBM28"
"1267","RBM39"
"1268","RBM41"
"1269","RBM42"
"1270","RBM43"
"1271","RBM48"
"1272","RBM5"
"1273","RBM5-AS1"
"1274","RBM6"
"1275","RBM7"
"1276","RBM8A"
"1277","RBSN"
"1278","RCAN1"
"1279","RCBTB1"
"1280","RCCD1-AS1"
"1281","RCE1"
"1282","RCHY1"
"1283","RCN2"
"1284","RCOR3"
"1285","RELB"
"1286","RER1"
"1287","REST"
"1288","RETREG2"
"1289","REV1"
"1290","RFC1"
"1291","RFK"
"1292","RFXAP"
"1293","RGL1"
"1294","RHBDD2"
"1295","RHOC"
"1296","RHOG"
"1297","RHOQ"
"1298","RIC8A"
"1299","RIC8B"
"1300","RICTOR"
"1301","RIF1"
"1302","RIN2"
"1303","RIT1"
"1304","RMC1"
"1305","RMRP"
"1306","RN7SK"
"1307","RN7SL3"
"1308","RNA45SN4"
"1309","RNF113A"
"1310","RNF114"
"1311","RNF125"
"1312","RNF144A"
"1313","RNF146"
"1314","RNF167"
"1315","RNF168"
"1316","RNF181"
"1317","RNF2"
"1318","RNF26"
"1319","RNF7"
"1320","RNF8"
"1321","RNU12"
"1322","RNU4-1"
"1323","RNU4-2"
"1324","RNY1"
"1325","ROCK1"
"1326","ROCK2"
"1327","ROMO1"
"1328","RPAP2"
"1329","RPAP3"
"1330","RPL17"
"1331","RPL23AP53"
"1332","RPL24"
"1333","RPL26L1"
"1334","RPL27"
"1335","RPL29"
"1336","RPL31"
"1337","RPL36"
"1338","RPL36AL"
"1339","RPL37A"
"1340","RPL38"
"1341","RPL41"
"1342","RPL8"
"1343","RPLP1"
"1344","RPLP2"
"1345","RPN1"
"1346","RPPH1"
"1347","RPS16"
"1348","RPS19BP1"
"1349","RPS21"
"1350","RPS28"
"1351","RPS5"
"1352","RPS6KA5"
"1353","RPS6KB1"
"1354","RPS6KB2"
"1355","RRAGA"
"1356","RRAS"
"1357","RSBN1L"
"1358","RSL1D1-DT"
"1359","RSPH9"
